id,name,category,duration_min,ivf,isf,icf,4CF,hormones,description
82,Desert Run 10 km (60 min),exercise,60,{},"{""Cl"":-90,""Na"":-90,""H2O"":-1.6}","{""K"":-25}","{""Sweat"":16}","{""ADH"":3,""Cortisol"":2,""Aldosterone"":2}",One-hour run at ~40 °C; heavy sweat and sodium depletion
83,Strength Session (60 min),exercise,60,"{""BUN"":1}","{""Cl"":-20,""Na"":-20,""H2O"":-0.4}","{""K"":-5}","{""Sweat"":4}","{""ADH"":1,""Cortisol"":1,""Testosterone"":2}",Gym resistance training; modest fluid & electrolyte loss
84,Ramadan Fasting (sunrise–sunset),state,840,"{""H2O"":-0.5}",{},{},{},"{""ADH"":1,""Cortisol"":1,""Aldosterone"":1}",No intake for ~14 h; mild cumulative dehydration signal
85,Iftar Feast Over-hydrate (1 h),state,60,"{""Na"":250,""H2O"":1.2,""Glucose"":150}",{},{},{},"{""ADH"":-1}","Large post-fast meal with high water, sodium and sugar"
86,"Desert Hike (2 h, 45 °C)",state,120,{},"{""Cl"":-120,""Na"":-120,""H2O"":-2}","{""K"":-40}","{""Sweat"":20}","{""ADH"":3,""Cortisol"":2,""Aldosterone"":2}",Hot-sun trek; extreme sweat & electrolyte loss
87,Swimming Pool (1 h),state,60,{},"{""Cl"":-15,""Na"":-15,""H2O"":-0.3}",{},"{""Sweat"":3}","{""ADH"":1}",Moderate sweat in cool water; slight fluid loss
88,Paddle-boarding (1 h),state,60,{},"{""Cl"":-25,""Na"":-25,""H2O"":-0.5}",{},"{""Sweat"":5}","{""ADH"":1}",Recreational boarding under sun; moderate sweat
89,Desert Overnight Camp (8 h),state,480,"{""H2O"":-0.3}",{},{},{},"{""ADH"":1}","Warm, dry night causes extra insensible loss"
90,Jet-lag Flight (8 h),state,480,"{""H2O"":-0.8}",{},{},{},"{""ADH"":1,""Cortisol"":1}",Cabin air dehydration and hormonal stress
91,Suhoor Hydration (pre-dawn 30 min),state,30,"{""Na"":30,""H2O"":0.7}",{},{},{},{},Pre-fast early-morning drink & light meal to top up fluid
92,Glycerol Hyper-hydration Shot,supplement,,"{""H2O"":0.5}",{},"{""H2O"":0.3}",{},"{""ADH"":-1}",Glycerol pulls extra water into body fluids and cells
93,Oral Bicarbonate 0.3 g/kg,supplement,,"{""Na"":40}",{},{},{},{},Alkaline load plus sodium; used by some athletes pre-event
94,Electrolyte Capsule (SaltStick),supplement,,"{""K"":10,""Ca"":2,""Mg"":2,""Na"":40}",{},{},{},{},Compact sodium-potassium-magnesium mix
95,Caffeine Tablet 200 mg,supplement,,"{""H2O"":-0.1}",{},{},{},"{""ADH"":-1}",Stimulant dose; slight diuretic via ADH suppression
96,Melatonin 5 mg,supplement,,{},{},{},{},"{""Cortisol"":-1}",Sleep-phase aid; small cortisol drop
97,Coca-Cola 330 mL,drink,,"{""Na"":15,""H2O"":0.33,""Glucose"":40}",{},{},{},{},"Sugary cola; modest sodium, high glucose load"
98,Diet Coke 330 mL,drink,,"{""Na"":30,""H2O"":0.33}",{},{},{},"{""ADH"":-1}",Zero-sugar cola with caffeine; slight diuretic effect
99,Sprite 330 mL,drink,,"{""Na"":10,""H2O"":0.33,""Glucose"":38}",{},{},{},{},"Lemon-lime soda; high sugar, low sodium"
100,Fanta Orange 330 mL,drink,,"{""Na"":12,""H2O"":0.33,""Glucose"":42}",{},{},{},{},"Orange soda; very sugary, mild sodium"
101,Mountain Dew 330 mL,drink,,"{""Na"":25,""H2O"":0.33,""Glucose"":46}",{},{},{},"{""ADH"":-1}",Caffeinated citrus soda; high sugar and sodium
102,Pepsi Max 330 mL,drink,,"{""Na"":35,""H2O"":0.33}",{},{},{},"{""ADH"":-1}","Zero-sugar cola; slightly higher sodium, caffeine diuretic"
103,Red Bull 250 mL,drink,,"{""Na"":20,""H2O"":0.24,""Glucose"":27}",{},{},{},"{""ADH"":-1,""Cortisol"":1}",Energy drink with taurine & sugar; mild diuretic
104,Monster Zero Sugar 500 mL,drink,,"{""Na"":30,""H2O"":0.48}",{},{},{},"{""ADH"":-1}","Large zero-sugar energy drink; caffeine, no carbs"
105,Gatorade Zero 500 mL,drink,,"{""K"":10,""Na"":50,""H2O"":0.5}",{},{},{},{},Electrolyte sports drink without sugar
106,Iced Tea (sweet) 500 mL,drink,,"{""Na"":10,""H2O"":0.5,""Glucose"":45}",{},{},{},"{""ADH"":-1}",Bottled sweet tea; sugar plus mild caffeine
107,Iced Tea (unsweet) 500 mL,drink,,"{""Na"":10,""H2O"":0.5}",{},{},{},"{""ADH"":-1}",Unsweetened tea; fluid and mild caffeine diuretic
108,Vodka Shot 40 mL,alcohol,,"{""H2O"":0.04}",{},{},{},"{""ADH"":-2}",Neat spirit; low volume but strong diuretic via ADH suppression
109,Whiskey Neat 40 mL,alcohol,,"{""H2O"":0.04}",{},{},{},"{""ADH"":-2}",Neat whiskey; same diuretic impact as vodka
110,Gin & Tonic 220 mL,alcohol,,"{""Na"":15,""H2O"":0.18,""Glucose"":5}",{},{},{},"{""ADH"":-2}","Mixed drink; moderate fluid, sugar, sodium plus spirit diuresis"
111,Mojito 250 mL,alcohol,,"{""Na"":10,""H2O"":0.2,""Glucose"":20}",{},{},{},"{""ADH"":-2}","Rum, lime, sugar mix; refreshing but diuretic"
112,Margarita 180 mL,alcohol,,"{""Na"":30,""H2O"":0.12,""Glucose"":25}",{},{},{},"{""ADH"":-2}","Tequila, lime and salted rim; high sodium + sugar"
113,Beer Lager 500 mL,alcohol,,"{""H2O"":0.47,""Glucose"":18}",{},{},{},"{""ADH"":-2}","Pint of lager; moderate carbs, pronounced diuretic"
114,Red Wine 150 mL,alcohol,,"{""H2O"":0.12,""Glucose"":5}",{},{},{},"{""ADH"":-1}","Standard glass of wine; mild diuretic, low carb"
115,Powerade (blue) 500 mL,drink,,"{""K"":5,""Na"":60,""H2O"":0.5,""Glucose"":30}",{},{},{},{},"Sugary sports drink with higher sodium, potassium"
116,Coconut Water 330 mL (tetra),drink,,"{""K"":18,""Na"":15,""H2O"":0.3,""Glucose"":12}",{},{},{},{},Packaged coconut water; natural electrolytes plus sugars
117,Big Mac Burger,food,,"{""Na"":200,""H2O"":0.1,""Glucose"":40}",{},{},{},{},Classic double-patty burger; high sodium and carbs
118,Double Cheeseburger,food,,"{""Na"":230,""H2O"":0.08,""Glucose"":35}",{},{},{},{},Two beef patties with cheese; very salty
119,Chicken Nuggets (6 pcs),food,,"{""Na"":180,""H2O"":0.05,""Glucose"":15}",{},{},{},{},Breaded fried nuggets; sodium + modest carbs
120,Fried Chicken (3 pcs),food,,"{""Na"":220,""BUN"":4,""H2O"":0.08}",{},{},{},{},Three spicy fried chicken pieces; Na⁺ and protein load
121,French Fries (large),food,,"{""Na"":350,""H2O"":-0.15}",{},{},{},{},"Supersize fries; very high salt, pulls water into gut lumen"
122,Pizza Slice (pepperoni),food,,"{""Na"":200,""H2O"":0.06,""Glucose"":30}",{},{},{},{},Single slice of pepperoni pizza
123,Pizza Personal 6″ (whole),food,,"{""Na"":400,""H2O"":0.12,""Glucose"":90}",{},{},{},{},Individual pan pizza; heavy sodium & carbs
124,Beef Burrito (wrap),food,,"{""Na"":260,""H2O"":0.1,""Glucose"":45}",{},"{""K"":50}",{},{},Flour-tortilla burrito with beef and rice
125,Zinger Chicken Burger,food,,"{""Na"":240,""H2O"":0.08,""Glucose"":30}",{},{},{},{},Spicy fried-chicken sandwich; high salt
126,Hotdog with Bun,food,,"{""Na"":210,""H2O"":0.07,""Glucose"":20}",{},{},{},{},Processed sausage in bun; sodium dense
127,Sausage McMuffin,food,,"{""Na"":250,""H2O"":0.06,""Glucose"":22}",{},{},{},{},Breakfast muffin with sausage patty & cheese
128,Glazed Donut,food,,"{""Na"":45,""H2O"":0.03,""Glucose"":50}",{},{},{},{},"Sweet pastry; high sugar, low sodium"
129,Chocolate Muffin,food,,"{""Na"":60,""H2O"":0.04,""Glucose"":55}",{},{},{},{},Large cafe-style muffin; sugar load
130,Milkshake Vanilla 400 mL,food,,"{""Na"":100,""H2O"":0.3,""Glucose"":60}",{},{},{},{},"Dairy shake; significant fluid, sugar and sodium"
131,Soft Serve Cone,food,,"{""Na"":40,""H2O"":0.05,""Glucose"":20}",{},{},{},{},Quick frozen dessert; small fluid and sugar
132,Nachos with Cheese,food,,"{""Na"":300,""H2O"":0.05,""Glucose"":35}",{},{},{},{},"Corn chips and cheese sauce; salty, moderate carbs"
133,Taco Beef (hard shell),food,,"{""Na"":170,""H2O"":0.05,""Glucose"":10}",{},{},{},{},"Single crunchy taco with beef, cheese"
134,Instant Ramen Cup,food,,"{""Na"":500,""H2O"":0.4,""Glucose"":35}",{},{},{},{},Prepared noodle soup; huge sodium load with fluid
135,Instant Noodle Bowl,food,,"{""Na"":620,""H2O"":0.55,""Glucose"":40}",{},{},{},{},Large instant noodle serving; very high salt plus water
136,Popcorn Large (cinema),food,,"{""Na"":320,""H2O"":-0.08}",{},{},{},{},Butter-salt popcorn; dehydrating salt hit
